"count(1)","search_query","created_at_date"
"1","a001tk33","24/04/21"
"10","a001tk33","26/04/21"
"6","a001tk33","27/04/21"
"1","a001tk33","28/04/21"
"2","a001tk33","30/04/21"
"1","a001tk33","02/05/21"
"2","a001tk33","03/05/21"
"2","a001tk33","04/05/21"
"2","a001tk33","06/05/21"
"1","a001tk33","07/05/21"
"1","a001tk33","08/05/21"
"2","a001tk33","09/05/21"
"3","a001tk33","15/05/21"
"1","a001tk33","17/05/21"
"1","a001tk33","25/05/21"
"4","a001tk33","26/05/21"
"1","a001tk33","27/05/21"
"5","a001tk33","29/05/21"
"4","a001tk33","31/05/21"
"1","a001tk33","01/06/21"
"2","a001tk33","03/06/21"
"3","a001tk33","04/06/21"
"2","a001tk33","06/06/21"
"115182","a001tk33","07/06/21"
"19390","a001tk33","08/06/21"
"8248","a001tk33","09/06/21"
"4338","a001tk33","10/06/21"
"2746","a001tk33","11/06/21"
"1816","a001tk33","12/06/21"
"1283","a001tk33","13/06/21"
"529","a001tk33","14/06/21"
"1200","a001tk33","15/06/21"
"1076","a001tk33","16/06/21"
"932","a001tk33","17/06/21"
"646","a001tk33","18/06/21"
"474","a001tk33","19/06/21"
"493","a001tk33","20/06/21"
"521","a001tk33","21/06/21"
"407","a001tk33","22/06/21"
"501","a009oy23","02/06/21"
"650","a009oy23","03/06/21"
"413","a009oy23","04/06/21"
"351","a009oy23","05/06/21"
"205","a009oy23","06/06/21"
"191","a009oy23","07/06/21"
"238","a009oy23","08/06/21"
"201","a009oy23","09/06/21"
"156","a009oy23","10/06/21"
"242","a009oy23","11/06/21"
"149","a009oy23","12/06/21"
"84","a009oy23","13/06/21"
"42","a009oy23","14/06/21"
"104","a009oy23","15/06/21"
"150","a009oy23","16/06/21"
"188","a009oy23","17/06/21"
"165","a009oy23","18/06/21"
"89","a009oy23","19/06/21"
"75","a009oy23","20/06/21"
"82","a009oy23","21/06/21"
"82","a009oy23","22/06/21"
"1","a021hp90","17/05/21"
"1","a021hp90","31/05/21"
"1","a021hp90","11/06/21"
"1","a021hp90","13/06/21"
"3","a108xb47","25/04/21"
"8","a108xb47","26/04/21"
"6","a108xb47","27/04/21"
"4","a108xb47","28/04/21"
"2","a108xb47","29/04/21"
"1","a108xb47","30/04/21"
"3","a108xb47","01/05/21"
"1","a108xb47","02/05/21"
"2","a108xb47","03/05/21"
"6","a108xb47","04/05/21"
"3","a108xb47","05/05/21"
"7","a108xb47","06/05/21"
"4","a108xb47","07/05/21"
"1","a108xb47","08/05/21"
"3","a108xb47","10/05/21"
"3","a108xb47","12/05/21"
"3","a108xb47","13/05/21"
"4","a108xb47","15/05/21"
"1","a108xb47","16/05/21"
"1","a108xb47","17/05/21"
"656","a108xb47","18/05/21"
"530","a108xb47","19/05/21"
"175","a108xb47","20/05/21"
"120","a108xb47","21/05/21"
"72","a108xb47","22/05/21"
"55","a108xb47","23/05/21"
"50","a108xb47","24/05/21"
"35","a108xb47","25/05/21"
"32","a108xb47","26/05/21"
"26","a108xb47","27/05/21"
"26","a108xb47","28/05/21"
"23","a108xb47","29/05/21"
"25","a108xb47","30/05/21"
"22","a108xb47","31/05/21"
"33","a108xb47","01/06/21"
"22","a108xb47","02/06/21"
"21","a108xb47","03/06/21"
"11","a108xb47","04/06/21"
"10","a108xb47","05/06/21"
"15","a108xb47","06/06/21"
"11","a108xb47","07/06/21"
"13","a108xb47","08/06/21"
